UID          PID    PPID  C STIME TTY          TIME CMD
alistar     1381     772  0 02:45 ?        00:00:03 /usr/libexec/tracker-miner-fs-3
alistar     1384     772  0 02:45 ?        00:00:00 /usr/libexec/xdg-document-portal
root        1390    1384  0 02:45 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
alistar     1397     772  0 02:45 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
alistar     1419     772  0 02:45 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
alistar     1441     772  0 02:45 ?        00:00:00 /usr/libexec/gvfsd-metadata
alistar     1490     772  0 02:45 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        1501       1  0 02:45 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
alistar     1801    1005  0 02:46 ?        00:00:43 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.OMTK41 -listen 4 -listen 5 -displayfd 6 -initfd 7
alistar     1804     772  0 02:46 ?        00:00:00 /usr/libexec/gsd-xsettings
alistar     1830     772  0 02:46 ?        00:00:00 /usr/libexec/ibus-x11
alistar     1895     772  0 02:46 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
alistar     2054    1895  0 02:46 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
alistar     2080     772  0 02:46 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
alistar     2082     772  0 02:46 ?        00:00:00 /usr/bin/seahorse --gapplication-service
alistar     2201     978  0 02:46 ?        00:00:01 update-notifier
alistar     4345     856  0 03:36 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
alistar     5430    1005  0 03:41 ?        00:00:17 /snap/snap-store/638/usr/bin/snap-store
root        5628       1  0 03:41 ?        00:00:02 /usr/libexec/fwupd/fwupd
alistar     6578    1005  2 03:45 ?        00:05:37 /snap/firefox/2356/usr/lib/firefox/firefox
alistar     6745    6578  0 03:45 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -prefsLen 18730 -prefMapSize 225528 -appDir /snap/firefox/2356/usr/lib/firefox/browser {2e05496c-c951-4421-b39a-d3e5fe98cc2e} 6578 true socket
alistar     6781    6578  0 03:45 ?        00:00:01 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 21059 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {f38b3fb4-d678-4554-ab45-ddf26bdad814} 6578 true tab
alistar     6803    6578  0 03:45 ?        00:00:02 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 22220 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {a6637a21-e0aa-466d-aad3-3b2ef3d9e056} 6578 true tab
alistar     6855     772  0 03:45 ?        00:00:00 /usr/bin/snap userd
alistar     7382    6578  0 03:45 ?        00:00:08 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 29374 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {641a4c29-5526-4f7c-bcf8-ddf84d86760c} 6578 true tab
alistar     7407    6578  0 03:45 ?        00:01:24 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 29465 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {5b21ebb9-539c-494a-b903-6c327d8d07e8} 6578 true tab
alistar     7594    6578  0 03:46 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 33325 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {3e7b74fc-a8d8-4687-b8da-79aeffeda758} 6578 true tab
alistar     7634    6578  0 03:46 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -prefsLen 33393 -prefMapSize 225528 -appDir /snap/firefox/2356/usr/lib/firefox/browser {542a947e-a2e6-4163-88be-a2f804b5fa2b} 6578 true rdd
alistar     7635    6578  0 03:46 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -parentBuildID 20230214170610 -sandboxingKind 0 -prefsLen 33393 -prefMapSize 225528 -appDir /snap/firefox/2356/usr/lib/firefox/browser {19c1ff90-a8dd-45da-9516-8c87fdc79777} 6578 true utility
alistar     7888    6578  0 03:50 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 14 -isForBrowser -prefsLen 33402 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {f902c293-e81d-4552-86ee-168d892c4c61} 6578 true tab
alistar     7906    6578  0 03:50 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 15 -isForBrowser -prefsLen 33402 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {6712d7df-43dc-485f-af47-2af203d402a3} 6578 true tab
alistar     8093     772  0 03:52 ?        00:00:08 /usr/bin/nautilus --gapplication-service
alistar    10548    1005  0 05:41 ?        00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
alistar    11015    1005  0 05:45 ?        00:00:02 rhythmbox
alistar    11044     856  0 05:45 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/2
alistar    11057     856  0 05:45 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/4
root       12255       1  0 06:38 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
alistar    12540     772  0 06:39 ?        00:00:01 /usr/bin/gedit --gapplication-service
root       41483       2  0 06:47 ?        00:00:07 [kworker/0:0-events]
alistar    41936    6578  0 07:04 ?        00:00:00 /snap/firefox/2356/usr/lib/firefox/firefox -contentproc -childID 16 -isForBrowser -prefsLen 34123 -prefMapSize 225528 -jsInitLen 246560 -parentBuildID 20230214170610 -appDir /snap/firefox/2356/usr/lib/firefox/browser {c94d1981-635e-48f7-840b-72cdb5a3b373} 6578 true tab
root       41977       2  0 07:07 ?        00:00:02 [kworker/u2:2-events_unbound]
root       42016       2  0 07:12 ?        00:00:03 [kworker/u2:1-events_unbound]
root       42022       2  0 07:13 ?        00:00:00 [kworker/0:1-events]
root       42278       2  0 07:31 ?        00:00:00 [kworker/u2:3-flush-8:0]
alistar    42588     840  0 07:35 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
alistar    42752     772  0 07:42 ?        00:00:00 /usr/libexec/gnome-terminal-server
alistar    42770   42752  0 07:42 pts/0    00:00:00 bash
root       42799       2  0 07:42 ?        00:00:00 [kworker/u2:0-events_unbound]
alistar    43039   42770  0 07:44 pts/0    00:00:00 ps -ef
